Title,New or Used,Mileage,MSRP,Price,Dealer,Link,Meta
2021 Honda Accord LX,New, ,$25725,$25725,Honda of Tenafly,https://cars.com/vehicledetail/detail/830236563/overview/,Ext. Color:Silver;Int. Color:Black;Transmission:CVT;Drivetrain:FWD;
2021 Honda Passport Touring,New, ,$42600,$42600,DCH Paramus Honda,https://cars.com/vehicledetail/detail/830309118/overview/,Ext. Color:Black;Int. Color:Black;Transmission:Automatic;Drivetrain:AWD;
2019 Honda Accord EX-L,Used,13381 mi., ,$21850,NYC Motorcars of Queens,https://cars.com/vehicledetail/detail/821119938/overview/,Ext. Color:White;Int. Color:Beige;Transmission:CVT;Drivetrain:FWD;
2021 Honda HR-V LX,New, ,$23640,$23640,DCH Paramus Honda,https://cars.com/vehicledetail/detail/830185415/overview/,Ext. Color:Black;Int. Color:Black;Transmission:Automatic;Drivetrain:AWD;
2019 Honda Civic Type R Touring,Used,749 mi., ,$38308,Plaza Auto Mall,https://cars.com/vehicledetail/detail/830248718/overview/,Ext. Color:Other;Int. Color:Black;Transmission:Manual;Drivetrain:FWD;
2021 Honda Insight LX,New, ,$23885,$22260,Route 22 Honda,https://cars.com/vehicledetail/detail/817032873/overview/,Ext. Color:Other;Int. Color:Black;Transmission:CVT;Drivetrain:FWD;
2020 Honda Fit LX,New, ,$17945,$17495,Route 22 Honda,https://cars.com/vehicledetail/detail/819537887/overview/,Ext. Color:Other;Int. Color:Black;Transmission:CVT;Drivetrain:FWD;
2020 Honda HR-V Sport,New, ,$25240,$24570,Route 22 Honda,https://cars.com/vehicledetail/detail/822967568/overview/,Ext. Color:Other;Int. Color:Black;Transmission:CVT;Drivetrain:AWD;
2021 Honda HR-V LX,New, ,$23640,$22598,Route 22 Honda,https://cars.com/vehicledetail/detail/828597494/overview/,Ext. Color:Other;Int. Color:Black;Transmission:CVT;Drivetrain:AWD;
2020 Honda HR-V Sport,New, ,$25240,$24570,Route 22 Honda,https://cars.com/vehicledetail/detail/819696895/overview/,Ext. Color:Other;Int. Color:Black;Transmission:CVT;Drivetrain:AWD;
2020 Honda HR-V EX-L,New, ,$28290,$27525,Route 22 Honda,https://cars.com/vehicledetail/detail/818444120/overview/,Ext. Color:Other;Int. Color:Black;Transmission:CVT;Drivetrain:AWD;
2020 Honda HR-V EX,New, ,$26590,$26402,Paul Miller Honda,https://cars.com/vehicledetail/detail/830475922/overview/,Ext. Color:Silver;Int. Color:Gray;Transmission:CVT;Drivetrain:AWD;
2020 Honda HR-V EX,New, ,$26690,$26598,Paul Miller Honda,https://cars.com/vehicledetail/detail/830460548/overview/,Ext. Color:White;Int. Color:Black;Transmission:CVT;Drivetrain:AWD;
2019 Honda Accord Sport,Used,21893 mi., ,$20000,21st Century Auto Group,https://cars.com/vehicledetail/detail/827270203/overview/,Ext. Color:Blue;Int. Color:Black;Transmission:CVT;Drivetrain:FWD;
2021 Honda HR-V LX,New, ,$24035,$22970,DCH Academy Honda,https://cars.com/vehicledetail/detail/828560644/overview/,Ext. Color:White;Int. Color:Gray;Transmission:Automatic;Drivetrain:AWD;
2021 Honda Pilot Touring 7-Passenger,New, ,$46340,$42440,DCH Academy Honda,https://cars.com/vehicledetail/detail/830191951/overview/,Ext. Color:Black;Int. Color:Black;Transmission:Automatic;Drivetrain:AWD;
2021 Honda HR-V EX-L,New, ,$28440,$27023,DCH Academy Honda,https://cars.com/vehicledetail/detail/827737318/overview/,Ext. Color:Silver;Int. Color:Black;Transmission:Automatic;Drivetrain:AWD;
2021 Honda HR-V EX,New, ,$26840,$25509,DCH Academy Honda,https://cars.com/vehicledetail/detail/827737561/overview/,Ext. Color:Blue;Int. Color:Black;Transmission:Automatic;Drivetrain:AWD;
2021 Honda HR-V Sport,New, ,$25590,$25090,DCH Kay Honda,https://cars.com/vehicledetail/detail/830356923/overview/,Ext. Color:Black;Int. Color:Black;Transmission:Automatic;Drivetrain:AWD;
2020 Honda Fit EX,New, ,$20015,$19265,DCH Kay Honda,https://cars.com/vehicledetail/detail/821324061/overview/,Ext. Color:Gray;Int. Color:Black;Transmission:CVT;Drivetrain:FWD;
